Dataset,Dose,Molecule,T1,T2,T3,TT,THH,TH1,THN
Pseudohelix 12,4.44,B,94.68546084797994,92.1047364823548,171.3466127506305,5.3650488311128015,68.11484042812613,2.626953255011429,-3.9554756162388713
Pseudohelix 13,4.9,B,94.2022225378674,92.04757583063483,171.68285989923325,5.487879883602702,68.06947834667112,2.9289448554660993,-3.791650093589837
Pseudohelix 14,5.12,B,94.15169062826435,91.42451477578089,171.76204014707474,6.066057282077409,68.72501576178354,3.42807578106995,-3.4167910439854268
Pseudohelix 15,5.27,B,94.06744237051205,91.4275203890828,172.18874194992918,5.55355735262151,68.70503540877492,1.9222179481751027,-3.4263083871335027
Pseudohelix 16,5.33,B,93.16128648509095,93.48529291149497,171.37615441496501,5.4877857357078454,71.72378866415558,1.9947116243235001,-4.055435181415305
Pseudohelix 17,5.56,B,93.39716046428809,93.52274373181791,171.10242147442844,5.585815108816732,69.638929862893,1.960347303568554,-4.341254124114656
Pseudohelix 18,5.7,B,94.41917559561321,93.2203103422557,170.8576098230274,5.018151689477975,69.32573178629637,1.3930417023875208,-4.204932879576404
Pseudohelix 19,5.91,B,94.64517512490234,92.3896693230456,170.8849188331863,5.795889667270558,69.58032700414978,3.191112719070105,-4.1876166491975795
Pseudohelix 20,5.82,B,94.1431165427079,92.49601642539585,171.4425232237861,5.397732589441574,68.4308062071771,1.9349863831992735,-4.472073368537295
Pseudohelix 21,5.81,B,93.91883451376385,92.55606644648431,172.40510660714645,3.9680809531286343,68.96861514562299,0.6654340194928352,-4.713471793534552
Pseudohelix 22,5.6,B,93.9239183981125,92.17777884352844,172.78147555636352,3.8564740387522676,68.65690977220424,1.1809917739213631,-4.7536531063110345
Pseudohelix 23,5.51,B,93.62339975078804,93.01543169807366,172.28809516540122,3.921014182607564,68.53411833488462,0.5947909185864262,-4.9653676139687235
Pseudohelix 24,5.35,B,93.68003782537701,93.43494701695573,171.64201891095408,4.380458421310209,69.96930875355874,1.5886539000921545,-4.979702084105938
Pseudohelix 25,5.33,B,92.54766574129766,92.66286441044747,172.5449036324678,5.327935444886904,68.68519711907722,2.5164108209383045,-3.6120854125719717
Pseudohelix 26,5.51,B,93.33792888341213,92.83788838449428,171.56715360630957,5.737909127711063,69.67348131089322,2.126748986308769,-3.6496885323355315
Pseudohelix 27,5.55,B,93.67730393052729,92.98205435430539,171.7611853321732,4.847112806509301,69.1856771073105,1.8413125464741285,-4.616842713533785
Pseudohelix 28,6.26,B,94.8703100912737,93.17365840417978,170.53879284043072,4.977846110540824,67.26587503942451,1.8852208873469039,-4.47410329740471
Pseudohelix 29,6.41,B,94.30630696429216,92.57630374228063,171.68855981056763,4.657982989435965,68.65709560680861,2.1916440707859834,-4.694916564926189
Pseudohelix 30,6.53,B,93.6793656736189,92.05526674685058,172.0628399177235,5.486788973604476,69.73056554469122,2.119256194576579,-3.6574319443322167
Pseudohelix 31,6.66,B,93.94995861864386,92.51835887074219,171.86333119404503,4.93444703328413,71.29956185031222,2.7002261444877007,-4.8740456760977935
Pseudohelix 32,6.99,B,93.96403196544637,92.9090591668096,171.14059020605268,5.586511345585947,69.50112401587619,2.340550916700309,-4.260257792857573
Pseudohelix 33,7.54,B,94.62071491291618,92.79211963472466,170.90564421207714,5.26658652380155,67.72735325987188,2.757142028241077,-4.674547596782389
Pseudohelix 34,7.82,B,94.43255844219308,93.22564606685509,170.35086538707276,5.865432276414907,66.99949785201373,4.987693452389308,-4.532135968816391
Pseudohelix 35,8.13,B,94.53721556464644,93.64757215330194,169.96090471156054,5.806448607067367,66.92015270650883,4.382134488070349,-3.925386310626905
Pseudohelix 36,8.65,B,95.13783913794386,93.53381036727738,169.7639524081712,5.434027848265643,68.69090940209873,3.378224764795462,-4.503513274284913
Wedge 1,5.45,A,93.18287763335194,94.10640752681681,170.5262281893358,6.0400171589844405,68.02870537968913,-0.6790055372979253,-4.270460928847356
Wedge 2,5.48,A,93.0682493478163,94.33806110340072,170.1633759500549,6.459738867781667,67.50631636008755,-0.14830759549668926,-4.1889764612444935
Wedge 3,5.48,A,93.25040155673531,94.59398358750748,169.91271247514507,6.326769483026922,67.4416436259294,0.37912152884058514,-4.512015421001863
Wedge 4,5.49,A,93.7628947573586,94.12779733971489,169.97736263062825,6.16864289436208,67.978574281676,0.2817417612714621,-4.485807402547863
Wedge 5,5.49,A,93.04802793323017,93.90489339584003,170.31908018877056,6.7248597845150755,67.42163535650947,1.2641148130663709,-3.9216476584056323
Wedge 6,5.5,A,92.59478658350767,94.11827900294848,170.96553450289636,6.034501674986615,68.16498177253354,0.19679724780547758,-4.0072413625722305
Wedge 7,5.51,A,93.40527428484558,94.35007642943093,169.60206525240713,6.9116191390460955,67.89542222704141,0.8625081688478247,-4.0537953171357515
Wedge 8,5.48,A,93.39043437163414,94.02902947693113,169.84824489661904,6.916639111143056,67.05055077547672,0.41519168241539717,-3.9173470865965356
Wedge 9,5.5,A,93.04392033523078,94.36564969100134,170.26057048124295,6.307383587875876,67.96072966518673,-0.14616700922786663,-4.650156536065623
Wedge 10,5.44,A,92.88960990624317,94.71147250061244,169.82338606354307,6.749450385655194,66.703816857961,0.7526692016149923,-4.475488295189464
